Year,Month,Site,Var.1,Var.2,Var.3
2011,1,1,114.5027101,36.93628188,284.3153802
2011,1,1,320.9906238,-42.02075063,52.28628839
2011,1,1,59.10545224,-124.9341813,66.11864363
2011,1,1,174.4671124,45.99946475,79.12700819
2011,1,1,12.79885533,9.437386324,-11.90903395
2011,1,1,10.12834379,-26.67043298,36.7641254
2011,1,1,42.75711818,-31.28282041,15.86901741
2011,1,1,-13.33064569,256.6792942,52.18516463
2011,1,2,10.19507608,251.0830108,61.98791164
2011,1,2,195.1149393,626.5865151,-8.466400473
2011,1,2,-12.72573559,3972.473879,23.08347266
2011,1,2,136.5819208,11.33779988,140.7664497
2011,1,2,94.56046734,431.4749404,-40.94066694
2011,1,2,50.25748716,433.2886972,-10.41110967
2011,1,2,-13.6303155,394.5298432,4.278480774
2011,1,2,374.6280466,27.29070405,186.2083688
2011,1,3,NA,NA,NA
2011,1,3,NA,NA,NA
2011,1,3,NA,NA,NA
2011,1,3,NA,NA,NA
2011,1,3,NA,NA,NA
2011,1,3,NA,NA,NA
2011,1,3,NA,NA,NA
2011,1,3,NA,NA,NA
2011,2,1,339.2471202,202.5701657,1.290709096
2011,2,1,-124.0191163,67.57350023,19.46534645
2011,2,1,195.5338907,156.013852,-120.643182
2011,2,1,36.61138949,-36.5386649,58.46546141
2011,2,1,207.853866,3095.377332,83.1077353
2011,2,1,217.1132039,125.1854215,28.7793019
2011,2,1,53.02304869,814.6632323,154.7843834
2011,2,1,113.7435212,-9.513197893,124.359077
2011,2,2,416.3638809,3129.999125,208.0773367
2011,2,2,132.1487806,849.4393143,150.8915528
2011,2,2,45.25359907,2456.837357,107.3254908
2011,2,2,33.5385981,182.1649973,97.20281332
2011,2,2,303.7530191,3559.694493,614.9598095
2011,2,2,16.46085645,900.32133,58.62158787
2011,2,2,126.4193776,5342.552752,1.041139843
2011,2,2,283.3705955,1898.475067,64.70120834
2011,2,3,42.48624668,1808.878814,238.3124961
2011,2,3,96.2229416,3255.132873,161.8234793
2011,2,3,104.5178622,382.7276612,119.7617302
2011,2,3,58.09173911,275.1408938,92.22834216
2011,2,3,104.5882154,375.5845319,90.47507041
2011,2,3,336.9982816,1226.024493,35.07884528
2011,2,3,128.5517291,4167.195364,6.301021003
2011,2,3,165.0031421,556.0792783,90.47787718
2011,3,1,213.1070397,9896.570666,366.7321836
2011,3,1,139.3778095,-227.6820587,103.4176075
2011,3,1,-14.31588234,-3.977487383,42.31994291
2011,3,1,216.4135489,-29.48585223,377.4170751
2011,3,1,15.78934288,90.62417829,91.17389062
2011,3,1,82.97863901,1108.468425,272.0901516
2011,3,1,261.4667494,51.53696223,244.9203549
2011,3,1,177.0728209,482.0467839,33.43149121
2011,3,2,124.6036643,7944.66174,147.5415545
2011,3,2,86.7265353,1873.003768,73.10340121
2011,3,2,118.8485567,2081.966048,-84.19241576
2011,3,2,132.0263459,987.6941421,222.5654149
2011,3,2,144.0916315,9713.397942,149.8890822
2011,3,2,278.1056185,2202.542694,584.1440818
2011,3,2,98.09222711,3243.276545,-53.85465659
2011,3,2,342.3234171,315.6273441,143.0387084
2011,3,3,90.59072883,2475.958111,184.572962
2011,3,3,36.84502226,1170.526266,41.59722157
2011,3,3,120.0571059,874.826499,222.8698062
2011,3,3,168.0071953,1116.393562,118.787942
2011,3,3,89.43205738,4692.760099,61.81044994
2011,3,3,404.8986654,2853.826577,-17.79078671
2011,3,3,38.58906443,476.7951404,71.26832807
2011,3,3,-299.2783805,519.8600263,119.9180733
2011,4,1,19.86102837,212.9418324,167.261562
2011,4,1,NA,39.46221499,83.93522897
2011,4,1,-28.84291447,378.9751832,104.6411553
2011,4,1,106.7614279,109.4732213,303.5570566
2011,4,1,258.6531698,356.0648641,4.580150756
2011,4,1,114.7944021,619.7336102,31.15101348
2011,4,1,167.8917535,113.1752641,47.26912507
2011,4,1,172.6951514,4.878280253,56.71136913
2011,4,2,149.2127605,3486.060682,6.480564895
2011,4,2,183.0768871,319.3942181,0.819040473
2011,4,2,44.06361512,1421.549064,132.8109394
2011,4,2,147.7399057,624.2168704,-4.309458303
2011,4,2,214.3438935,-5.457882386,83.06134605
2011,4,2,435.6215062,928.2373346,112.7597647
2011,4,2,80.74952295,2173.219113,-5.975931765
2011,4,2,801.5426901,463.9878716,19.86250431
2011,4,3,100.1216447,735.4346598,14.7987104
2011,4,3,139.2719606,1077.029714,62.17152131
2011,4,3,392.8215359,898.1963276,24.18234257
2011,4,3,-42.42230665,10162.56304,28.73431648
2011,4,3,448.4118652,9320.627294,8.917387435
2011,4,3,84.3099244,394.5021453,-12.01891422
2011,4,3,57.01994003,2137.217647,27.66494705
2011,4,3,-6.516176348,783.2570284,247.5928332
2011,5,1,70.79784813,326.4427892,502.0110118
2011,5,1,265.5577536,-12.6569667,524.9101094
2011,5,1,-3.191920388,5.942056036,381.8413039
2011,5,1,65.63498015,70.47978356,12.30840943
2011,5,1,42.9684119,-98.70865584,129.7157753
2011,5,1,155.6791544,60.56371575,129.6690455
2011,5,1,-122.7518298,-16.92869974,21.96679438
2011,5,1,-6.233289504,38.19925684,95.25864495
2011,5,2,36.00531983,2657.54847,16.33605318
2011,5,2,-36.16677866,2082.678964,24.87994167
2011,5,2,33.65754341,926.3845437,-119.5235618
2011,5,2,227.598819,214.2926258,36.57476038
2011,5,2,421.3389356,638.4492921,82.52266806
2011,5,2,349.977468,798.3938774,94.9477221
2011,5,2,155.2654093,83.84026086,55.67298064
2011,5,2,81.29933426,-133.6422126,-44.45601461
2011,5,3,154.7817816,1717.603021,405.790038
2011,5,3,90.57171022,656.5188396,529.9953123
2011,5,3,228.3556512,467.4787047,205.1261344
2011,5,3,48.08246177,272.7182741,470.1841286
2011,5,3,349.8938795,3054.802562,170.6767467
2011,5,3,193.2537834,3074.930074,71.565037
2011,5,3,231.3690413,6751.681479,144.5857851
2011,5,3,89.18976144,477.5646637,13.43521949
2011,6,1,102.5026071,437.6494439,189.046211
2011,6,1,112.2967099,157.3030076,71.88360817
2011,6,1,102.7369448,-18.33176514,317.2933384
2011,6,1,151.2039817,-81.18994737,-26.847298
2011,6,1,56.03627025,11.16979338,231.8866091
2011,6,1,215.8543436,21.32303101,235.4078517
2011,6,1,98.55563427,130.1181791,55.30342867
2011,6,1,148.047484,11.00863933,63.37488704
2011,6,2,92.04367542,345.2312119,184.9797724
2011,6,2,42.62198814,430.1325181,-206.0260558
2011,6,2,6.423835963,1026.074029,222.3866335
2011,6,2,32.55827294,999.8982341,131.0173154
2011,6,2,103.8795316,888.5177441,164.2404774
2011,6,2,218.6555388,763.6191846,165.923659
2011,6,2,172.1603739,320.8046982,304.14303
2011,6,2,42.22238441,-21.24257296,88.03336338
2011,6,3,104.1029,707.9027324,96.15523668
2011,6,3,74.76045995,9265.826525,87.1303893
2011,6,3,251.5474168,10692.48749,76.44674725
2011,6,3,-60.68971264,-131.072712,-26.99253451
2011,6,3,73.67042627,1671.675586,-60.70617211
2011,6,3,52.14911767,708.335353,100.939418
2011,6,3,121.3140605,249.8863424,194.4503599
2011,6,3,127.038768,164.5314634,208.2508628
2011,7,1,241.3123832,87.56306215,252.6697611
2011,7,1,128.8099172,132.6543688,78.74439479
2011,7,1,179.5451236,69.16819203,269.0966135
2011,7,1,418.8233,2.731219464,367.6268256
2011,7,1,118.792152,409.0322099,200.0295981
2011,7,1,579.1199007,144.1049722,103.7509642
2011,7,1,172.0354583,110.2994162,-22.09154375
2011,7,1,24.75835208,213.1662181,209.9247479
2011,7,2,247.6846302,4186.531832,167.4475878
2011,7,2,104.4690631,694.8328948,169.2141173
2011,7,2,99.77827392,901.2999861,98.26691359
2011,7,2,104.8088913,102.1103452,179.568535
2011,7,2,279.5931205,-95.00324151,255.8637214
2011,7,2,90.16220882,695.4794656,236.0432072
2011,7,2,183.8032063,178.6562401,147.0894207
2011,7,2,186.450698,77.71492326,392.4500712
2011,7,3,102.1456907,727.3213697,66.29505473
2011,7,3,52.68789349,490.7197445,-24.00815296
2011,7,3,-13.75309964,54.65063218,331.4231442
2011,7,3,314.1713066,93.44069091,135.4347533
2011,7,3,103.309031,259.1796939,291.9245815
2011,7,3,-20.36888375,641.2499619,177.0608573
2011,7,3,70.72151096,97.68372875,168.6912114
2011,7,3,62.37088695,389.2698141,140.4747347
2011,8,1,223.5450481,24.5454223,126.7464388
2011,8,1,275.0737142,-23.30642137,186.7699507
2011,8,1,177.4622284,-216.8046706,257.6248576
2011,8,1,371.5728398,427.3191481,30.33391361
2011,8,1,190.3788408,642.1686292,51.34684692
2011,8,1,335.8816892,15.6238119,67.77457899
2011,8,1,158.5545062,-144.6799879,-11.74574557
2011,8,1,-72.3884496,187.0402936,31.02008064
2011,8,2,280.1813512,476.8057504,2147.36111
2011,8,2,320.0583273,91.30855419,128.4807227
2011,8,2,-21.72080548,911.1597616,-16.59500594
2011,8,2,165.7453112,1180.728939,120.8565795
2011,8,2,57.25601446,180.4215491,36.83034406
